CODE,DOMES,STATION DESCRIPTION,LAT,LONG,HEIGHT
HAAS,50237M001,Haast NEW ZEALAN D,-44.07319444,168.7855556,1053.5
HAL1,40445M006,MAUI UNITED STAT ES OF,20.70741667,203.7437778,3072.8
HARB,30302M009,Hartebeesthoek S OUTH,-25.88697222,27.70725,1558.1
HERS,13212M007,Herstmonceux Cast le U,50.86730556,0.336277778,76.5
HERT,13212M010,Herstmonceux Cast le U,50.86747222,0.334361111,83.3
HGHN,92726M002,Hienghene FRANCE ,-20.68883333,164.9430556,135
HKCL,23004M001,Chek Lap Kok HON G-KON,22.29583333,113.9077222,7.7
HKKT,23006M001,Kam Tin HONG-KON G,22.44491667,114.0665833,34.5
HKNP,23010M001,Ngong Ping HONG- KONG,22.24905556,113.8938889,350.7
HKOH,23011M001,Obelisk Hill HON G-KON,22.24769444,114.2285556,166.3
HKQT,23013M001,Quarry Bay HONG- KONG,22.29102778,114.2132222,5.1
HKSC,23014M001,Stonecutters Isla nd H,22.32216667,114.1411944,20.2
HKSL,23015M001,Siu Lang Shui HO NG-KO,22.372,113.928,95.3
HKST,23017M001,Sha Tin HONG-KON G,22.39527778,114.18425,258.7
HKWS,23019M001,Wong Shek HONG-K ONG,22.43427778,114.3353889,63.8
HLFX,40120M001,Halifax CANADA ,44.68355556,296.3887222,1.2
HNLC,49970S001,Honolulu UNITED STATE,21.30330556,202.1354444,20
HNUS,30322M001,Hermanus SOUTH A FRICA,-34.42463889,19.22305556,63
HOB2,50116M004,Hobart AUSTRALIA ,-42.80469444,147.43875,39.1
HOBU,14202M003,HOHENBUNSTORF GE RMANY,53.05063889,10.47630556,152.2
HOFN,10204M002,Hofn ICELAND ,64.26730556,344.8020833,82.9
HOL2,14285M002,KIEL-HOLTENAU GE RMANY,54.37291667,10.15680556,47.7
HOLB,40130M001,Holberg CANADA ,50.64036111,231.865,559.6
HOLY,19146M001,Holyhead UNITED KINGD,53.31772222,355.3579444,67.9
HONS,10345M001,Honningsvag NORW AY,70.97705556,25.96494444,54.6
HORN,50247M001,Hoophorn Spur NE W ZEA,-43.77733333,170.1055,960.4
HOWN,66103M001,Howard Nunatak A NTART,-77.52802778,273.2326667,1478.3
HRAG,30302M010,Hartebeesthoek S OUTH,-25.89041667,27.68516667,1407.2
